word,V1,V2,V3,V4,V5
0,14.297483843877568,1.127040032763387,0.5908185605282492,0.17754965036995107,0.19972178366775817
00,2.3268028882855183,1.0589122567212053,1.3904786809709335,0.996478094062997,0.4417867662386898
00pm,3.279556897348197,0.7770276002281735,0.627650376769663,1.1355373243440827,0.5254585022687448
1,1.8465605505991654,1.638177846634896,1.325883397591312,0.8934046122928916,0.4909698542017725
1.5,1.8361384729901145,2.4651314217765155,1.3447578565457876,0.9699381312105705,0.28455598892092027
1.50,0.7768278154958176,1.948620617394641,1.00598835981837,1.3025281073358594,0.5807265080018781
10,1.894155303234972,1.4119091535599422,1.2622477605698565,0.8341257458751016,0.5969861951070322
100,1.275069104055204,1.149986866734454,0.9959774185994791,0.780010259860959,1.0447694935428273
10pm,2.168739238568969,0.81030811196979,1.197184977912505,0.9182925075975035,0.6637969811975691
11,1.6438328459373035,1.2950460003802893,1.4223094258138602,1.0206053931631793,0.5114430865960327
11am,1.5031302446179233,1.1243810235859877,0.995313610669194,1.3348603653193736,0.5658783870586481
12,1.611103566475782,1.3300971029546846,1.3624776106701264,0.9931414058743145,0.5475564571538829
13,1.3938116813729835,1.8495997033139147,1.4577638112250535,0.8997781465278825,0.5067697383336282
14,1.3506210883052283,1.5837008317903538,1.695812281488398,0.9103800406724222,0.4981286458134271
15,2.7555385017684557,2.0121870803596633,1.2824383628167622,0.6957003550643661,0.3691046600387984
150,1.4940203643475118,1.6116128004732488,1.1225902040078444,1.0169367593570338,0.5780043524956192
16,1.3720595182783273,1.3735336367669735,1.3582043593910178,1.0109280305010437,0.5900547667460672
17,2.1009661373636885,1.4901899182458123,1.3891303380075677,0.8460426309836345,0.4777992351284108
18,1.9213963820334587,1.682224701524912,1.5337142480194892,0.7045242758048297,0.5247302160563141
19,1.6265544289267266,2.343416572116714,1.6212661769849597,0.7226146609462344,0.41497748384300864
1st,1.462894940090272,1.0533648805910099,0.8486772406599971,0.8166644482502611,1.054573074518486
2,1.5013439935845094,1.84836746257337,1.3234890329070959,0.8787447037505398,0.5375291313206416
2.5,0.5646865507538767,3.4226215724336218,4.631613888058855,0.4660538651309414,0.11950226807449714
2.50,0.7639876863140685,1.813064400532405,0.9795149819284131,1.2972653675082397,0.6310717496230087
20,2.646255058511516,1.935042315467836,1.20213202327578,0.7082073904476178,0.42068017924193835
200,1.792000528927852,1.9330466035088143,0.9519230106064861,0.8946657706953378,0.5691119778418405
2014,1.0843696192844843,1.0878386403194429,0.9795149819284132,1.2039917020527682,0.7883961033247145
2015,2.1817725272622916,1.3518462635548634,0.8764081417254225,0.6387397449435465,0.869027522982924
2016,2.6626105503222983,1.8954764187384234,0.5828518900731053,0.5695210345861526,0.7925812191411502
21,1.6478165783244616,1.1751343336784106,1.439287320384607,0.9313116850317286,0.5928249769185838
22,1.4193193461301363,1.578337312963478,1.2131607574342733,1.0563377102367508,0.5485843069992865
23,1.882465659077865,2.0306321285962934,0.8333187159689485,1.0577123363828058,0.47034047755524006
24,1.1478449140718687,1.0733341251151838,0.9469729559507251,1.2222628730270353,0.7742026392612306
25,2.0895104877597426,1.569712518903568,1.296969730868965,0.7814169389617506,0.5355634734662206
26,1.6553066536804817,1.7040078952372228,1.3212062546941388,0.9797777798544075,0.46951738171951835
27,1.1636120145398892,2.0228404468749974,0.9182952955578875,1.074901836150952,0.6143822488065324
28,1.174069312056179,2.2663305006655063,1.4692724728926196,0.8557672589259753,0.49973675740244256
29,1.605232554390234,1.0496688634661293,2.1097245764611974,0.8408725756218839,0.49283040249858173
2am,1.2650978891652318,0.6345725401863417,1.521129148406477,1.0497411709491962,0.7588159704557873
2nd,1.4854288428818332,1.5254147600633217,1.2994570614527694,0.7977639603816058,0.6910645445222349
